央视频道,#genre#
CCTV8,http://123.118.229.243:9090/rtp/239.3.1.175:8001,0.78
CCTV8,http://123.118.159.0:8686/rtp/239.3.1.175:8001,0.73
CCTV8,http://60.2.190.206:4000/rtp/239.253.92.195:6060,0.69
CCTV8,http://115.171.216.209:4000/rtp/225.1.8.85:8000,0.65
CCTV8,http://175.173.198.22:9001/rtp/232.0.0.173:1234,0.63
CCTV8,http://222.128.86.76:8133/rtp/239.3.1.175:8001,0.62
CCTV8,http://123.113.187.204:8000/rtp/239.3.1.175:8001,0.61
CCTV8,http://123.113.189.90:8001/rtp/239.3.1.175:8001,0.61
CCTV8,http://114.243.110.0:4000/rtp/239.3.1.175:8001,0.61
CCTV8,http://222.129.139.229:8888/rtp/239.3.1.175:8001,0.61
CCTV8,http://175.146.122.104:8888/rtp/232.0.0.173:1234,0.6
CCTV8,http://114.254.85.102:8888/rtp/239.3.1.175:8001,0.6
CCTV8,http://60.10.106.114:555/rtp/239.253.92.195:6060,0.58
CCTV9,http://175.173.198.22:9009/rtp/232.0.0.137:1234,1.83
CCTV9,http://175.173.198.22:9010/rtp/232.0.0.137:1234,1.28
CCTV9,http://175.173.198.22:9020/rtp/232.0.0.137:1234,1.23
CCTV9,http://221.219.79.161:4000/rtp/239.3.1.62:8112,1.01
CCTV9,http://114.246.96.72:4000/rtp/239.3.1.62:8112,1.01
CCTV9,http://123.121.2.167:4000/rtp/239.3.1.62:8112,1.0
CCTV9,http://111.196.129.152:20000/rtp/239.3.1.62:8112,0.83
CCTV9,http://114.252.238.87:8000/rtp/239.3.1.62:8112,0.79
CCTV9,http://123.118.229.243:9090/rtp/239.3.1.62:8112,0.78
CCTV9,http://123.118.159.0:8686/rtp/239.3.1.62:8112,0.73
CCTV9,http://60.2.190.206:4000/rtp/239.253.92.107:6020,0.69
CCTV9,http://115.171.216.209:4000/rtp/225.1.8.9:8112,0.65
CCTV9,http://175.173.198.22:9001/rtp/232.0.0.137:1234,0.63
CCTV9,http://222.128.86.76:8133/rtp/239.3.1.62:8112,0.62
CCTV9,http://123.113.187.204:8000/rtp/239.3.1.62:8112,0.61
CCTV9,http://123.113.189.90:8001/rtp/239.3.1.62:8112,0.61
CCTV9,http://114.243.110.0:4000/rtp/239.3.1.62:8112,0.61
CCTV9,http://222.129.139.229:8888/rtp/239.3.1.62:8112,0.61
CCTV9,http://175.146.122.104:8888/rtp/232.0.0.137:1234,0.6
CCTV9,http://114.254.85.102:8888/rtp/239.3.1.62:8112,0.6
CCTV9,http://60.10.106.114:555/rtp/239.253.92.107:6020,0.58
CCTV10,http://175.173.198.22:9009/rtp/232.0.0.138:1234,1.83
CCTV10,http://175.173.198.22:9010/rtp/232.0.0.138:1234,1.28
