台灣頻道,#genre#
三立戲劇,https://fm1077.serv00.net/anbo/index.php?id=2819
龍華偶像,https://fm1077.serv00.net/anbo/index.php?id=385
霹靂臺灣,https://fm1077.serv00.net/anbo/index.php?id=1339
靖天電影,https://fm1077.serv00.net/anbo/index.php?id=110
美亞電影,https://fm1077.serv00.net/anbo/index.php?id=375
AMC,https://fm1077.serv00.net/anbo/index.php?id=84
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=329
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=2824
HBO Hits,https://fm1077.serv00.net/anbo/index.php?id=330
采昌影劇,https://fm1077.serv00.net/anbo/index.php?id=62
采昌影劇,https://fm1077.serv00.net/anbo/index.php?id=2804
影迷數位電影,https://fm1077.serv00.net/anbo/index.php?id=497
影迷數位電影,https://fm1077.serv00.net/anbo/index.php?id=2800
龍華戲劇,https://fm1077.serv00.net/anbo/index.php?id=365
龍華戲劇,https://fm1077.serv00.net/anbo/index.php?id=2796
龍華經典,https://fm1077.serv00.net/anbo/index.php?id=100
龍翔時代,https://fm1077.serv00.net/anbo/index.php?id=373
AXN臺灣,https://fm1077.serv00.net/anbo/index.php?id=2816
天映經典,https://fm1077.serv00.net/anbo/index.php?id=2289
公視戲劇,https://fm1077.serv00.net/anbo/index.php?id=69
AXN亞洲,https://fm1077.serv00.net/anbo/index.php?id=1066
Trill恐怖電影,https://fm1077.serv00.net/anbo/index.php?id=18
龍華電影,https://fm1077.serv00.net/anbo/index.php?id=311
華納電影,https://fm1077.serv00.net/anbo/index.php?id=83
甄嬛传,https://fm1077.serv00.net/anbo/index.php?id=1060
靖天戲劇,https://fm1077.serv00.net/anbo/index.php?id=109
CATCHPLAY,https://fm1077.serv00.net/anbo/index.php?id=362
TVB亞洲劇,https://fm1077.serv00.net/anbo/index.php?id=1048
TVB粵語片,https://fm1077.serv00.net/anbo/index.php?id=1589
CHC高清電影,https://fm1077.serv00.net/anbo/index.php?id=1345
CHC動作電影,https://fm1077.serv00.net/anbo/index.php?id=1346
CHC家庭影院,https://fm1077.serv00.net/anbo/index.php?id=1347
CBN歡笑劇場4K,https://fm1077.serv00.net/anbo/index.php?id=1348
SETONE,https://fm1077.serv00.net/anbo/index.php?id=1349
GEM,https://fm1077.serv00.net/anbo/index.php?id=1350
龍華洋片,https://fm1077.serv00.net/anbo/index.php?id=341
TVB功夫台,https://fm1077.serv00.net/anbo/index.php?id=168
飢餓遊戲,https://fm1077.serv00.net/anbo/index.php?id=264
台視時光機,https://fm1077.serv00.net/anbo/index.php?id=2555
龍翔時代,https://fm1077.serv00.net/anbo/index.php?id=1175
體育頻道,#genre#
緯來體育,https://fm1077.serv00.net/anbo/index.php?id=118
緯來體育,https://fm1077.serv00.net/anbo/index.php?id=2732
FOX Sport 1,https://fm1077.serv00.net/anbo/index.php?id=2791
FOX Sport 2,https://fm1077.serv00.net/anbo/index.php?id=1132
Eleven Sport 1,https://fm1077.serv00.net/anbo/index.php?id=3224
Eleven Sport 2,https://fm1077.serv00.net/anbo/index.php?id=301
ELTA體育1,https://fm1077.serv00.net/anbo/index.php?id=192
ELTA體育1,https://fm1077.serv00.net/anbo/index.php?id=2729
ELTA體育2,https://fm1077.serv00.net/anbo/index.php?id=193
ELTA體育2,https://fm1077.serv00.net/anbo/index.php?id=2730
ELTA體育3,https://fm1077.serv00.net/anbo/index.php?id=194
ELTA體育3,https://fm1077.serv00.net/anbo/index.php?id=2731
ELTA體育3台,https://fm1077.serv00.net/anbo/index.php?id=2722
ELTA體育4,https://fm1077.serv00.net/anbo/index.php?id=2820
Z頻道,https://fm1077.serv00.net/anbo/index.php?id=1130
博斯無限,https://fm1077.serv00.net/anbo/index.php?id=381
博斯無限,https://fm1077.serv00.net/anbo/index.php?id=2797
博斯無限2,https://fm1077.serv00.net/anbo/index.php?id=426
博斯無限2,https://fm1077.serv00.net/anbo/index.php?id=2798
博斯網球,https://fm1077.serv00.net/anbo/index.php?id=498
博斯高球1,https://fm1077.serv00.net/anbo/index.php?id=377
博斯高球2,https://fm1077.serv00.net/anbo/index.php?id=378
博斯魅力,https://fm1077.serv00.net/anbo/index.php?id=175
博斯運動1,https://fm1077.serv00.net/anbo/index.php?id=379
博斯運動2,https://fm1077.serv00.net/anbo/index.php?id=380
TRACE Sport Stars,https://fm1077.serv00.net/anbo/index.php?id=1037
歐洲體育,https://fm1077.serv00.net/anbo/index.php?id=1342
魅力足球,https://fm1077.serv00.net/anbo/index.php?id=464
BeIN Sport News,https://fm1077.serv00.net/anbo/index.php?id=2402
BeIN Sport 1,https://fm1077.serv00.net/anbo/index.php?id=2403
BeIN Sport 2,https://fm1077.serv00.net/anbo/index.php?id=2404
BeIN Sport 4,https://fm1077.serv00.net/anbo/index.php?id=2406
BeIN Sport 5,https://fm1077.serv00.net/anbo/index.php?id=2407
BeIN Sport 6,https://fm1077.serv00.net/anbo/index.php?id=2408
BeIN Sport 7,https://fm1077.serv00.net/anbo/index.php?id=2409
BeIN Sport 8,https://fm1077.serv00.net/anbo/index.php?id=2410
BeIN Sport 9,https://fm1077.serv00.net/anbo/index.php?id=2411
BeIN Sport 10,https://fm1077.serv00.net/anbo/index.php?id=2412
BeIN Sport 11,https://fm1077.serv00.net/anbo/index.php?id=2413
BeIN Sport 12,https://fm1077.serv00.net/anbo/index.php?id=2414
Bein Sport 15,https://fm1077.serv00.net/anbo/index.php?id=2416
Bein Sport 14,https://fm1077.serv00.net/anbo/index.php?id=2418
J SPORTS 1,https://fm1077.serv00.net/anbo/index.php?id=129
J SPORTS 2,https://fm1077.serv00.net/anbo/index.php?id=130
J SPORTS 3,https://fm1077.serv00.net/anbo/index.php?id=131
J SPORTS 4,https://fm1077.serv00.net/anbo/index.php?id=132
